;ID;Latitude;Longitude;Area_Sum;Depth_Mean;Depth_Median;Depth_Max;Chl_Mean;Chl_Median;Margin_Sum;Margin_Mean;Margin_Median;Shelf_Sum;Shelf_Mean;Shelf_Median;CurVel_Mean;CurVel_Median;CurVel_Bot_Mean;CurVel_Bot_Median;Diff_Atte_Mean;Diff_Atte_Median;HumImp_Sum;HumImp_Mean;HumImp_Median;Ice_Cover_Sum;IceCov_Mean;Ice_Cover_Median;Ice_Tick_Mean;Ice_Tick_Median;MixLay_Mean;MixLay_Median;Nitrate_Mean;Nitrate_Median;Nitrate_Bot_Mean;Nitrate_Bot_Median;O2_Mean;O2_Median;O2_Bot_Mean;O2_Bot_Median;PhotoActi_Mean;PhotoActi_Median;PrimProd_Bot_Mean;PrimProd_Bot_Median;PrimProd_Mean;PrimProd_median;Salinity_Bot_mean;Salinity_Bot_median;Salinity_mean;Salinity_median;Silicate_mean;Silicate_median;ThemM_mean;ThemM_median;ThemM_Bot_mean;ThemM_Bot_median;Them_Max_mean;Them_Max_median;Them_Max_max;Them_Min_mean;Them_Min_median;Them_Min_min;ThemR_mean;ThemR_median;ThemR_range;ThemR_Bot_mean;ThemR_Bot_median;ThemR_Bot_range;NumRec_sha;NumSpe_sha;ES50_sha;Chao1_sha;ACE_sha;Weighted_sha;NumRec_mes;NumSpe_mes;ES50_mes;Chao1_mes;ACE_mes;Weighted_mes;NumRec_dee;NumSpe_dee;ES50_dee;Chao1_dee;ACE_dee;Weighted_dee
8;450;73.53867989;35.26635515;669381.463;-242.1045502;-247;611;0.442416755;0.44838831;-6318246;-234.4954721;-247;-690366;-9.218892717;0;0.044104474;0.031696323;0.03360541;0.025495276;0.104052921;0.104602605;652552;11.00684816;10;4196.445227;0.056532247;0.011782654;0.074867375;0.021629509;78.74497727;74.69873309;4.807122292;4.815551635;9.309897969;9.698437519;331.4822616;331.9718942;306.4664082;306.9396674;22.83148495;22.78546108;0.216574794;0.197577427;1.962753321;1.970092592;34.93316546;34.96387944;34.69711774;34.77969047;2.900595561;2.903283585;3.456293782;3.451402689;1.900699662;1.702782145;8.461564659;8.420927027;13.73977117;-0.003096684;-1.399898848;-2;8.465143357;8.395243773;9.482975948;2.86871312;2.70913619;13.44717645;63196;1328;28.81469842;1904.785714;1879.998912;17.50249908;172507;2419;44.96011914;3159.156522;3010.698193;212.517084;5547;235;32.94282415;294;297.1693179;40.50930737
2;2;-73.53867991;-144.7336448;669386.405;-3425.335065;-4100;858;0.348970308;0.325876222;-7916578;-351.5198259;0;-135582;-2.166469592;0;0.019894084;0.017068552;0.007273867;0.005910271;0.065469551;0.066123206;NA;NA;NA;49211.90896;0.800440932;0.814953485;0.836418488;0.795065738;47.30797459;48.36401498;30.03532933;30.34668074;32.52522446;32.69812205;315.0265156;310.3409333;258.1263193;258.5365863;19.46590905;17.76681626;0.052536772;0.032684179;1.506814305;1.406886622;34.67578283;34.7005911;33.84088975;33.85167799;82.11621657;84.69788876;-1.718597638;-1.736620928;0.002941682;-0.065513397;-0.515481335;-0.548665969;1.128573213;-1.948332145;-1.945296571;-2;1.434505241;1.392888156;3.01001935;0.230038923;0.077230493;3.360612185;111;19;16.27313012;19.75;20.78225327;12.38291457;23;12;NA;NA;NA;NA;9;3;NA;NA;NA;NA
4;4;-87.63115099;8.953647175;764171.4267;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
642;466;87.63115099;-4.211351461;764171.4267;-3370.202817;-3876;33;0.088112797;0.089797265;-195640765;-873.5132607;0;-120494;-0.193521136;0;0.030121845;0.031120773;0.002792644;0.001555854;0.028386244;0.025862353;151904;3.979774162;4;603553.839;0.968529746;0.968373949;2.503172044;2.451942565;21.11018767;19.7679726;6.504784066;6.477157711;14.84066658;15.05160174;370.7761103;371.8164667;299.0633335;301.3349916;3.864025738;3.989123033;0.013922246;0.013548188;0.34940899;0.352964337;34.92531515;34.93309677;31.85035826;31.73116548;14.51154454;15.5161334;-1.729921349;-1.725599197;-0.583270908;-0.686598446;-1.554996525;-1.566303475;-0.138430921;-1.826406353;-1.817102551;-1.929781247;0.271409827;0.245813836;1.528678716;0.052800033;0.042153444;1.879338093;5984;239;35.84769925;320.8484848;348.0767317;51.00266349;1408;115;28.57704863;138.25;145.7701679;28.5197376;16611;362;27.10422449;508.3863636;519.7003202;20.68325545
110;108;5.587962637;115.2356115;793496.3772;-1060.536342;-952;541;0.129951335;0.099237885;-6379184;-992.8691051;-851;-305284;-17.11904895;0;0.059833328;0.039380666;0.008565919;0.003052485;0.080729117;0.067748465;3158140;10.25213685;8;0;0;0;0;0;16.27336962;17.26439095;0.063784035;0.012298044;24.64057105;34.34242585;201.924405;202.1651632;116.3252907;92.39576753;43.84950964;43.71564216;0.403176361;0.013548172;1.414908021;1.261255078;34.25800863;34.56423292;32.53713645;32.72560207;6.921606965;6.250909277;28.92049463;28.90571103;11.34995323;4.941569955;30.32835385;30.25728274;32.33716648;26.92727661;26.9257536;25.13951859;3.401077234;3.379045213;3.579409645;2.047552595;0.370239463;8.121028444;3973;1783;52.39810704;3160.539683;3542.047268;695.7609644;526;218;42.94003814;304.1147541;348.4373188;112.4699187;803;358;45.58675805;643.5217391;686.3765761;190.7154688
535;535;-5.587962637;-64.76438848;793496.6352;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;3563752;3.818589381;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
222;221;-5.03063245;-8.777524018;793510.8874;-3951.354707;-4006;-1561;0.15679483;0.147873841;-6735916;-722.2727858;0;0;0;0;0.166700656;0.150932092;0.01286495;0.010487137;0.072546781;0.073389015;0;NA;NA;0;0;0;0;0;22.81283115;22.66394823;0.180998643;0.131579332;23.65063858;23.6984938;209.8299916;209.3921215;241.9790561;241.4663175;49.09095615;49.42622117;0.013548172;0.013548172;1.373574706;1.331860973;34.90354811;34.90332692;35.90359668;35.88535372;1.319920587;1.319564133;25.93823051;26.02795305;2.072521862;2.066545365;28.76198368;28.80363533;29.23809566;23.20302576;23.23886132;22.14301472;5.558957925;5.470792858;2.317725152;0.439924023;0.413422381;2.814437624;409;206;42.15932793;492.875;417.0332564;37.08290845;137;80;40.75563039;127.5263158;116.5957447;64.05802048;513;344;47.56344978;912.5849057;842.4478207;247.5719661
350;349;5.03063245;171.222476;793512.778;-4355.444027;-4458;90;0.153786099;0.14379235;-1683728;-180.5412824;0;-5900;-0.227781638;0;0.173557029;0.16405774;0.02372916;0.016257554;0.054809991;0.054228378;3737;12.8419244;14;0;0;0;0;0;26.35527105;26.69409929;0.773413011;0.776168968;35.10719545;35.17037366;200.2177182;200.2075494;176.6298997;178.8788017;44.33323051;43.82163656;0.020140552;0.013548172;1.270118005;1.243522758;34.69136728;34.6940745;34.44724039;34.34121713;1.732506991;1.746791723;29.02332475;29.10188819;1.240525188;0.98647921;30.18249483;30.21431224;30.59667776;27.52493501;27.56560053;26.40453813;2.657559824;2.513570938;2.320585067;0.123919396;0.083387729;9.448753229;1269;314;41.18619029;477.7746479;555.5514339;72.47675413;11;11;NA;NA;NA;NA;77;37;28.42838474;121.3333333;74.36773518;22.7164751
247;246;-5.284308719;-31.80664916;793513.5722;-4455.808501;-4745.5;80;0.08336715;0.079556827;-1676296;-191.5329068;0;-16178;-0.665624357;0;0.232207659;0.223380002;0.032483105;0.019426147;0.057679116;0.05744052;1290958;21.46695046;18;0;0;0;0;0;31.46598307;31.67195519;0.004320893;0.002672887;28.08632783;29.56795993;203.3601512;203.1455157;236.017373;233.7790126;49.65301217;49.69934043;0.040341725;0.013548172;1.098841779;1.079115339;34.82508007;34.76800132;36.12435732;36.06503342;1.327822931;1.311736378;27.50261018;27.51965013;1.576105806;0.770809573;29.10337208;29.10062958;29.80820225;25.92323838;25.93543951;25.22575749;3.180133695;3.189527909;1.616689794;1.020688409;0.940747924;10.44474833;22271;954;28.80827565;1404.561497;1468.92628;25.02476587;110;77;42.11000514;153.5555556;157.8648053;61.11111111;408;214;43.54073868;447.6756757;431.0585631;109.9498018
357;360;5.284308719;148.1933508;793514.1884;-3781.885102;-4160;77;0.088942656;0.08439782;-6031870;-646.5026795;0;-13812;-0.533117184;0;0.148737669;0.140346674;0.012821765;0.007540474;0.051197376;0.050767829;1856;16.28070175;14;0;0;0;0;0;23.29538774;23.97922301;0.012000008;0.00128095;36.83632361;37.22974419;199.20832;199.2043757;150.2887201;153.8459303;43.19316009;43.22856133;0.024786799;0.013548172;1.145399514;1.141176868;34.67303316;34.68602896;34.05242119;34.01213314;1.823431432;1.821978925;29.40338415;29.40127696;1.737234725;1.152715353;30.21783319;30.21932222;30.54282121;28.55246442;28.63167864;27.44011947;1.665368771;1.606701236;1.388713448;0.19453283;0.071158288;12.1056274;670;347;46.54986437;588.1538462;649.8875728;102.8643446;1;1;NA;NA;NA;NA;20;15;NA;NA;NA;NA
331;330;-5.190835878;-168.8625562;793521.9756;-4925.308295;-5184;2;0.152289597;0.153078908;-1485775;-159.4350252;0;-418;-0.016135258;0;0.22017478;0.210383396;0.023881197;0.013589196;0.062958176;0.063958413;0;NA;NA;0;0;0;0;0;32.84013066;33.17875677;2.180206105;2.418000058;34.13398831;33.73435443;201.9393519;202.4057399;195.1985755;200.2445178;49.36464876;49.73414014;0.013592178;0.013548172;1.361631018;1.38364853;34.70268559;34.70672653;35.41415296;35.42655871;1.979293343;2.026581423;28.93350027;28.99482397;0.850971356;0.760536952;30.37136657;30.38644822;30.77053495;27.28292258;27.39640129;25.18143935;3.088443993;3.002770794;3.543184575;0.096422913;0.094583586;3.761836705;409;217;44.45977683;437.7173913;501.7323058;55.96554031;14;5;NA;NA;NA;NA;139;45;29.70740638;65;53.86401297;33.36960276
196;195;5.190835878;11.13744382;793524.23;-1051.500371;-1026;1000;0.206339932;0.112990496;-1402764;-1041.398664;-1026;-45090;-12.01759062;0;0.077607319;0.08368124;0.013793082;0.010298954;0.118291674;0.101160047;12594457;15.65812592;15;0;0;0;0;0;10.70700048;10.64740743;3.665216094;3.359474738;21.417044;23.61519184;209.7862693;209.358207;173.3209273;203.1244948;39.46904301;39.26788212;0.51091611;0.01354819;1.741409102;1.283785468;34.36602263;34.95337658;28.64096908;29.06826904;14.48768459;12.17367955;28.05471789;28.01691342;10.10300025;4.427024796;30.03856688;30.00518158;31.2046086;25.54455621;25.56717838;24.9830739;4.494010668;4.480808748;1.818006203;2.885059021;1.087359765;9.841702693;222;115;43.87924913;172.0967742;190.5209827;74.89969605;45;28;NA;NA;NA;NA;40;38;NA;NA;NA;NA
542;542;5.408681493;-75.73195525;793524.3612;-1979.610346;-2482;276;0.400006802;0.360941636;-3529523;-1472.475177;-1350;-61033;-9.155865587;0;0.127903403;0.126565351;0.015451112;0.007472418;0.103441372;0.091665892;11944354;17.02634272;17;0;0;0;0;0;11.39797084;10.87753681;1.13889427;1.157361554;31.63210964;39.72737667;210.3620417;211.5050273;108.7606452;94.34605124;38.58129907;37.52034915;0.214320616;0.013548172;2.328873059;2.097084258;34.78645384;34.68719327;31.92290037;31.97645662;4.054366266;2.267259512;27.23479159;27.0924347;6.609628382;1.919556172;28.6641777;28.49076754;30.42771471;24.28163265;24.47154326;18.84819993;4.382545046;3.913204882;8.28383483;1.666417139;0.06459991;14.65223078;96414;3289;32.18932851;4624.176471;4755.569145;21.73339946;1286;510;45.4106017;958.65625;1116.620384;196.1798339;2682;758;43.77193878;1199.359477;1297.536308;134.3103294
103;101;-5.408681493;104.2680447;793526.3215;-2611.255731;-2128;756;0.205555824;0.155087884;-3208201;-474.5157521;0;-137413;-7.311146582;0;0.10951015;0.091645818;0.038636061;0.022510996;0.080868145;0.069590253;5002131;18.29507999;18;0;0;0;0;0;19.62425209;20.63987677;0.302567939;0.102735349;23.88145758;33.83206231;202.7835447;202.5306656;172.4979707;195.0207227;44.11471803;43.96063212;0.633354491;0.013548172;1.611669074;1.379096737;34.1044894;34.71565617;33.31575226;33.70979632;6.53199299;2.914550166;28.64124004;28.68809254;10.56855031;2.222071771;30.2250911;30.14671557;32.17422351;26.31281977;25.92850733;22.76190034;3.912271337;4.265595152;5.433875967;1.443394783;0.536933247;14.37745186;4571;966;45.69580169;1868.45098;2043.637846;94.30548798;81;16;12.26624769;28;48.46;6.30259366;70;28;23.52164383;41;44.38405797;17.37588652
567;567;5.520907;-98.70996122;793529.4012;-3382.416435;-3419;-1777;0.209357954;0.207508204;-18970727;-2032.432719;-3064;0;0;0;0.176006099;0.15963936;0.016380813;0.014023825;0.068947935;0.067566145;0;NA;NA;0;0;0;0;0;18.17153357;17.80770181;1.668815258;1.53859623;38.88845044;38.86857116;206.7954574;206.3563857;127.1229673;126.8908746;42.54268923;42.20853114;0.013548172;0.013548172;1.617888404;1.60568699;34.67488686;34.67517226;33.56067707;33.50898392;1.404974446;1.382627582;27.3304708;27.45631292;1.493005898;1.48452657;29.32315223;29.24497807;30.38924536;25.42900933;25.60320182;21.74203098;3.894142901;3.783467602;3.734830342;0.093512466;0.080770789;0.439992864;1551;131;24.69020614;215;180.5125152;5.630389956;283;89;37.1807534;111.2352941;107.542207;60.71948446;18;16;NA;NA;NA;NA
639;640;-5.634663158;-160.0052104;793531.2633;-4915.44978;-5147;3;0.160715069;0.162519461;-1250679;-134.0635652;0;-288;-0.011102116;0;0.211122507;0.215674467;0.012261865;0.009545712;0.064064083;0.065263318;203;2.306818182;0;0;0;0;0;0;34.29839928;34.49217303;2.568437554;2.877861598;33.83090168;33.62232461;203.1382101;203.7362453;198.6143669;201.4956745;50.30014084;50.84510023;0.01355597;0.013548172;1.389471731;1.413832066;34.70233322;34.70513525;35.45736335;35.46165415;2.023714651;2.0785585;28.53248349;28.55621308;0.879209037;0.812420614;29.91888852;29.86576131;30.4734339;26.80431181;26.85288635;24.75409247;3.114576703;2.794886372;2.908899611;0.088278119;0.086993207;4.291764351;823;87;20.34920954;111.4736842;117.8589967;8.673585945;16;13;NA;NA;NA;NA;555;104;22.43972177;256.5;236.0895513;5.13777459
114;112;-5.520907;81.29003878;793532.0766;-4979.193379;-5020;-1911;0.102119643;0.100087711;-265286;-28.4214699;0;0;0;0;0.101882782;0.102060535;0.015299479;0.012688845;0.058682745;0.058619788;0;NA;NA;0;0;0;0;0;20.11779011;19.99468472;0.007526782;0.003850464;34.87457757;34.90285703;201.5103577;201.5074394;178.6970492;178.4638892;44.29485234;44.1925008;0.013548172;0.013548172;1.197790898;1.190358811;34.72702939;34.72637185;34.46882583;34.45099904;1.926273897;1.922366879;28.68486574;28.7094828;0.950864436;0.944518444;30.14280881;30.20959423;30.42116804;27.30636455;27.47092661;25.41073313;2.836444259;2.722422364;2.234132647;0.06346289;0.058500337;0.667152886;1928;69;34.73977037;114;NA;51.64620557;147;13;9.603107784;23;20.70833333;7.12462908;115;89;43.90842048;381;333.611857;68.52331606
187;185;5.634663158;19.99478961;793532.4829;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;10303112;11.03730231;12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
560;560;-5.983494756;-87.34366379;793546.9462;-3857.629697;-3992;-1977;0.274435839;0.250249932;-7120919;-762.329408;0;0;0;0;0.126165267;0.114990273;0.010721509;0.009676187;0.07676622;0.075463019;0;NA;NA;0;0;0;0;0;18.50727155;17.90542037;5.444141805;5.34704649;38.01873515;38.01169758;218.8199302;218.6579787;134.1618996;134.545575;45.26890995;45.15363297;0.013548172;0.013548172;1.803018872;1.706774538;34.68520524;34.68593629;35.07475429;35.07032796;1.266354072;1.177017617;23.65225643;23.76988062;1.460545511;1.447512412;27.97364343;28.01174083;28.7241826;19.16540969;19.27337221;17.29310237;8.808233739;8.78498705;2.920115521;0.071534784;0.069480872;0.393554435;1261;149;27.76115422;216.1052632;193.6299785;6.375095719;214;96;40.15340747;114.59375;117.8098686;71.55625;398;228;44.08454206;431.5576923;494.6662479;112.6628734
121;119;5.983494756;92.65633621;793550.3536;-2654.059489;-2837;354;0.096417819;0.0954942;-11678723;-1281.826693;-1140;-24567;-0.970528977;0;0.04766699;0.03926017;0.014098767;0.010558256;0.0689383;0.068916907;362374;13.33875658;14;0;0;0;0;0;19.68456459;20.23015123;0.048999617;0.016853694;35.74303337;36.17266719;201.7235596;201.4593715;129.6357673;147.2797278;43.32013766;43.3676029;0.028917723;0.013548172;1.234244956;1.235369484;34.79561482;34.75127951;33.21376131;33.33964125;4.497771593;4.216803554;28.97316348;28.93128889;3.422072025;1.833601671;30.39287329;30.35721863;31.45184925;28.0217224;28.02066045;27.18363167;2.371150895;2.297856374;1.627250371;0.705381543;0.375198155;10.46519736;10093;861;40.06657634;1577.106667;1717.524441;64.82837404;336;210;45.05653276;464.6341463;554.6983648;130.9698376;551;271;43.19643834;637.3488372;667.6685494;106.489302
